,YEAR,PREVAILING_WAGE
48566,2016,0
2312980,2012,0
2750068,2011,0
2562648,2012,0
772864,2015,0
1821367,2013,0
2843869,2011,0
610097,2016,0
188970,2016,0
2820644,2011,0
1774543,2014,0
2292624,2012,0
2423054,2012,0
1935621,2013,0
2625623,2012,0
918420,2015,0
2657652,2011,0
1126665,2015,0
435682,2016,0
1888746,2013,0
530867,2016,0
1383525,2014,0
1219998,2015,0
376459,2016,0
2441982,2012,0
82816,2016,0
1607002,2014,0
1411480,2014,0
113742,2016,0
2177721,2013,0
717665,2015,0
1699968,2014,0
1321717,2014,0
1442686,2014,0
1153039,2015,0
2657352,2011,0
2131377,2013,0
1264729,2015,0
1397122,2014,0
2218143,2013,0
1796281,2013,0
2444396,2012,0
933735,2015,0
2902962,2011,0
2902988,2011,0
1582743,2014,0
2679643,2011,0
1071657,2015,0
247901,2016,0
2554644,2012,0
1609091,2014,0
2479481,2012,0
1320211,2014,0
2895165,2011,0
2658904,2011,0
90640,2016,0
131342,2016,0
555615,2016,0
558063,2016,0
1909670,2013,0
1689584,2014,0
1945371,2013,0
1222588,2015,0
1052453,2015,0
962007,2015,0
2779874,2011,0
166946,2016,0
640750,2016,0
658437,2015,0
405188,2016,0
2618515,2012,0
2588609,2012,0
1385866,2014,0
2102585,2013,0
2784583,2011,0
423108,2016,0
2860934,2011,0
483092,2016,0
677744,2015,0
2468710,2012,0
2372390,2012,0
2585846,2012,0
519739,2016,0
2316240,2012,0
2033614,2013,0
1005556,2015,0
2691658,2011,0
1138172,2015,0
2246824,2012,0
1799964,2013,0
2129387,2013,0
2815494,2011,0
2046035,2013,0
1534079,2014,0
2019859,2013,0
887176,2015,0
1617603,2014,0
1752680,2014,0
1138481,2015,0
497096,2016,0
1594861,2014,0
425734,2016,0
2460309,2012,0
2436792,2012,0
2223582,2013,0
42407,2016,0
2757453,2011,0
82645,2016,0
2443706,2012,0
2222966,2013,0
558618,2016,0
769256,2015,0
809340,2015,0
2620273,2012,0
1996736,2013,0
768918,2015,0
971277,2015,0
1825548,2013,0
1193701,2015,0
562069,2016,0
2162714,2013,0
207556,2016,0
1560836,2014,0
812853,2015,0
1373857,2014,0
